title,length
Hells Bells,5:10
Shoot to Thrill,5:17
What Do You Do for Money Honey,3:33
Givin the Dog a Bone,3:30
Let Me Put My Love into You,4:16
Back in Black,4:15
You Shook Me All Night Long,3:30
Have a Drink on Me,3:57
Shake a Leg,4:06
Rock and Roll Ain't Noise Pollution,4:15
