title,length
Fight Fire with Fire,4:44
Ride the Lightning,6:37
For Whom the Bell Tolls,5:11
Fade to Black,6:55
Trapped Under Ice,4:04
Escape,4:24
Creeping Death,6:36
The Call of Ktulu (instrumental),8:55
