title,length
"Prison Song",3:21
"Needles",3:12
"Deer Dance",2:55
"Jet Pilot",2:05
"X",1:57
"Chop Suey!",3:30
"Bounce",1:54
"Forest",4:02
"ATWA",2:56
"Science",2:42
"Shimmy",1:50
"Toxicity",3:40
"Psycho",3:48
"Aerials",3:56
"Arto",2:14
