title,length
"Fly on the Wall",3:44
"Shake Your Foundations",4:10
"First Blood",3:46
"Danger",4:22
"Sink the Pink",4:15
"Playing with Girls",3:44
"Stand Up",3:53
"Hell or High Water",4:32
"Back in Business",4:24
"Send for the Man",3:36
