title,length
It's a Long Way to the Top (If You Wanna Rock 'n' Roll),5:12
Rock 'n' Roll Singer,5:04
The Jack,5:53
Live Wire,5:50
T.N.T.,3:35
Can I Sit Next to You Girl,4:12
Little Lover,5:40
She's Got Balls,4:52
High Voltage,4:04
