title,length
Suite-Pee,2:31
Know,2:56
Sugar,2:33
Suggestions,2:44
Spiders,3:35
DDevil,1:43
Soil,3:25
War?,2:40
Mind,6:16
Peephole,4:06
CUBErt,1:50
Darts,2:42
P.L.U.C.K.,3:33
