title,length
It's a Long Way to the Top (If You Wanna Rock 'n' Roll),5:14
Rock 'n' Roll Singer,5:04
The Jack,5:53
Live Wire,5:49
T.N.T.,3:35
Rocker,2:55
"Can I Sit Next to You, Girl",4:12
High Voltage,4:20
School Days	Chuck Berry,5:22
