title,length
"Soldier Side - Intro",1:04
"B.Y.O.B.",4:15
"Revenga",3:48
"Cigaro",2:11
"Radio/Video",4:09
"This Cocaine Makes Me Feel Like I'm on This Song",2:08
"Violent Pornography",3:31
"Question!",3:20
"Sad Statue",3:25
"Old School Hollywood",2:56
"Lost in Hollywood",5:20
