title,length
"Blackout",3:49
"Can't Live Without You",3:47
"No One Like You",3:57
"You Give Me All I Need",3:39
"Now!",2:35
"Dynamite",4:12
"Arizona",3:56
"China White",6:59
"When the Smoke Is Going Down",3:50
