title,length
Battery,5:13
Master of Puppets,8:36
The Thing That Should Not Be,6:37
Welcome Home (Sanitarium),6:28
Disposable Heroes,8:17
Leper Messiah,5:40
Orion (instrumental),8:28
"Damage, Inc.",5:33
