title,length
"Hit the Lights",4:17
"The Four Horsemen",7:13
"Motorbreath",3:08
"Jump in the Fire",4:41
"(Anesthesia) – Pulling Teeth",4:14
"Whiplash",4:08
"Phantom Lord",5:01
"No Remorse",6:26
"Seek & Destroy",6:54
"Metal Militia",5:11
