title,length
"Thunderstruck",4:52
"Fire Your Guns",2:53
"Moneytalks",3:45
"The Razors Edge",4:22
"Mistress for Christmas",3:58
"Rock Your Heart Out",4:06
"Are You Ready",4:10
"Got You by the Balls",4:29
"Shot of Love",3:57
"Let's Make It",3:32
"Goodbye & Good Riddance to Bad Luck",3:14
"If You Dare",3:11
