title,length
Highway to Hell,3:29
Girls Got Rhythm,3:24
Walk All Over You,5:10
Touch Too Much,4:28
Beating Around the Bush,3:55
Shot Down in Flames,3:23
Get It Hot,2:35
If You Want Blood (You've Got It),4:38
Love Hungry Man,4:18
Night Prowler,6:13
