title,length
Gas in the Tank,3:40
Roots in My Boots,3:17
Knock 'em Dead,4:11
Rock Believer,3:57
Shining of Your Soul,3:57
Seventh Sun,5:30
Hot and Cold,4:12
When I Lay My Bones to Rest,3:07
Peacemaker,2:56
Call of the Wild,5:20
When You Know (Where You Come From),4:22
