title,length
"Attack",3:06
"Dreaming",3:59
"Kill Rock 'n Roll",2:27
"Hypnotize",3:09
"Stealing Society",2:58
"Tentative",3:36
"U-Fig",2:55
"Holy Mountains",5:28
"Vicinity of Obscenity",2:51
"She's Like Heroin",2:44
"Lonely Day",2:47
"Soldier Side",3:40
