title,length
"72 Seasons",7:39
"Shadows Follow",6:12
"Screaming Suicide",5:30
"Sleepwalk My Life Away",6:56
"You Must Burn!",7:03
"Lux Æterna",3:22
"Crown of Barbed Wire",5:49
"Chasing Light",6:45
"If Darkness Had a Son",6:36
"Too Far Gone?",4:34
"Room of Mirrors",5:34
"Inamorata",11:10
