title,length
Bad Boys Running Wild,3:54
Rock You Like a Hurricane,4:11
I'm Leaving You,4:16
Coming Home,4:58
The Same Thrill,3:30
Big City Nights,4:08
As Soon as the Good Times Roll,5:01
Crossfire,4:31
Still Loving You,6:26
