title,length
Dark Lady,3:30
In Trance,4:47
Life's Like a River,3:54
Top of the Bill,3:26
Living and Dying,3:24
Robot Man,2:47
Evening Wind,5:06
Sun in My Hand,4:25
Longing for Fire,2:44
Night Lights,3:14
