code,released,name,description
system_of_a_down,1998-06-30,System of a Down,"System of a Down is the debut studio album by the American heavy metal band System of a Down, released on June 30, 1998 by American Recordings and Columbia Records. The album was certified Gold by the Recording Industry Association of America in February 2000. "
toxicity,2001-09-04,Toxicity,"Toxicity is the second studio album by the American heavy metal band System of a Down, released on September 4, 2001, by American Recordings and Columbia Records. Expanding on their 1998 eponymous debut album, Toxicity incorporates more melody, harmonies, and singing than the band's first album. Categorized primarily as alternative metal and nu metal, the album features elements of multiple genres, including folk, progressive rock, jazz, and Armenian and Greek music"
mezmerize,2005-05-17,Mezmerize,"Mezmerize is the fourth studio album by the American heavy metal band System of a Down"
hypnotize,2005-11-22,Hypnotize,"Hypnotize is the fifth and most recent studio album by the American heavy metal band System of a Down. It was released on November 22, 2005, six months after the release of its companion album Mezmerize. Mezmerize and Hypnotize both debuted at number one on the Billboard 200 chart."
